symbol,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr,ema_9,ema_50,above_ema_9,above_ema_50,ema_trend
SUNDRMFAST,0.2729,1010.0,1049.9,3.8,7.04,1.07,0.46,False,False,False,False,10.05,1012.21,1026.95,False,False,bearish
NIACL,0.2728,173.5,188.49,7.95,11.35,0.64,0.37,False,False,False,False,6.41,180.21,184.87,False,False,bearish
NATIONALUM,0.2724,189.75,200.0,5.12,7.37,0.86,0.69,False,False,False,False,139.78,192.08,190.21,False,False,bearish
RBLBANK,0.2715,256.0,272.88,6.19,8.67,1.02,0.9,True,True,False,False,317.29,257.22,256.78,False,False,bearish
BEML,0.2703,4058.0,4727.0,14.15,19.37,0.83,0.34,False,True,False,False,227.23,4237.81,4213.85,False,False,bearish
LALPATHLAB,0.2701,3035.0,3137.9,3.28,8.64,1.05,0.87,True,True,True,True,44.31,3022.04,2960.4,True,True,bullish
DEVYANI,0.2689,166.8,181.0,7.85,8.87,0.89,0.44,False,False,False,False,47.84,171.91,171.47,False,False,bearish
DOMS,0.2681,2348.0,2435.0,3.57,6.38,0.92,0.79,False,False,False,False,16.61,2371.17,2456.98,False,False,bearish
MANYAVAR,0.2665,760.0,824.35,7.81,9.54,0.82,0.45,False,False,False,False,18.09,780.8,798.59,False,False,bearish
TECHNOE,0.2658,1460.0,1589.1,8.12,13.36,0.81,0.39,False,True,False,False,31.78,1483.48,1569.52,False,False,bearish
KALYANKJIL,0.2656,603.95,617.7,2.23,6.21,0.93,1.25,False,False,False,False,245.18,598.92,591.29,True,True,bullish
DLF,0.2641,800.2,856.45,6.57,8.93,0.89,0.76,False,True,False,True,197.56,821.56,812.7,False,False,bearish
BALRAMCHIN,0.2639,594.0,627.8,5.38,8.3,0.92,0.82,False,True,False,False,19.56,598.55,591.87,False,False,bearish
USHAMART,0.2632,379.7,398.25,4.66,10.6,0.99,0.39,False,True,False,False,18.48,375.42,371.43,True,True,bearish
GUJGASLTD,0.2625,451.95,484.8,6.78,7.92,0.79,0.75,False,False,False,True,16.69,463.94,466.11,False,False,bearish
SHYAMMETL,0.2621,989.1,999.9,1.08,16.27,1.19,2.43,True,True,False,False,59.07,944.17,885.96,True,True,bullish
BATAINDIA,0.2593,1198.0,1273.1,5.9,7.18,0.89,0.76,False,False,False,False,16.65,1209.94,1226.34,False,False,bearish
MEDANTA,0.2589,1331.0,1393.2,4.46,8.22,1.05,1.01,True,True,False,True,70.51,1325.74,1310.63,True,True,bullish
POWERINDIA,0.2588,19800.0,20525.0,3.53,11.04,0.97,0.68,True,True,False,False,200.01,19426.14,19387.03,True,True,bullish
ZENTEC,0.2575,1606.2,1925.0,16.56,19.85,0.68,0.3,False,False,True,False,48.74,1781.77,1864.65,False,False,bearish
SAREGAMA,0.2569,479.0,520.0,7.88,11.25,0.8,0.27,False,False,False,False,26.18,488.4,496.25,False,False,bearish
HAPPSTMNDS,0.2561,621.0,646.1,3.88,8.71,0.78,0.68,False,False,False,False,20.81,617.44,623.4,True,False,bearish
ABCAPITAL,0.2557,252.5,273.75,7.76,9.37,0.92,0.71,False,True,True,False,85.22,262.52,252.17,False,True,bearish
GLAND,0.2545,2100.0,2131.0,1.45,12.85,1.39,1.05,True,True,False,False,95.94,2019.64,1816.66,True,True,bullish
HEG,0.2542,525.0,563.0,6.75,13.04,1.03,0.48,True,True,False,False,50.71,525.9,507.67,False,True,bearish
TBOTEK,0.2532,1390.0,1458.0,4.66,10.58,0.84,0.34,False,False,False,False,17.32,1392.16,1364.44,False,True,bearish
SUNDARMFIN,0.2532,4752.0,5240.0,9.31,11.13,0.88,0.51,False,True,False,False,24.61,5006.11,5069.15,False,False,bearish
FSL,0.2529,332.45,363.6,8.57,10.87,0.71,0.47,False,False,False,False,28.49,342.76,359.73,False,False,bearish
CHAMBLFERT,0.2513,533.45,569.75,6.37,8.41,0.71,0.84,False,False,False,False,64.57,543.36,564.21,False,False,bearish
BALKRISIND,0.2511,2736.0,2801.3,2.33,7.69,1.22,0.97,False,True,False,False,117.65,2711.04,2606.72,True,True,bullish
SUMICHEM,0.2503,608.0,618.0,1.62,13.99,1.21,0.99,True,True,False,False,34.25,586.63,557.66,True,True,bullish
DEEPAKFERT,0.2497,1605.0,1658.3,3.21,11.28,0.99,0.68,True,True,False,False,70.18,1580.88,1536.49,True,True,bearish
CHOLAFIN,0.2495,1484.7,1587.8,6.49,8.34,0.86,0.97,False,True,False,False,308.69,1525.02,1552.89,False,False,bearish
KPIL,0.2486,1133.0,1243.9,8.92,10.57,0.75,0.48,False,False,False,True,23.38,1167.86,1191.41,False,False,bearish
CONCORDBIO,0.2477,1835.0,1980.0,7.32,10.02,0.82,0.49,False,False,False,False,33.58,1875.34,1824.89,False,True,bearish
GILLETTE,0.2477,10490.0,11500.0,8.78,11.43,1.13,0.49,True,True,False,False,33.43,10780.87,10245.84,False,True,bearish
SYRMA,0.2477,745.0,755.0,1.32,11.68,1.25,1.52,True,True,True,False,184.71,719.82,682.85,True,True,bullish
KIRLOSENG,0.2476,921.0,957.5,3.81,7.04,1.19,0.47,False,False,False,False,70.91,918.73,919.2,True,True,bearish
IRFC,0.2475,132.38,138.0,4.07,5.76,0.76,1.37,False,False,True,False,147.35,133.23,135.73,False,False,bearish
INDIAMART,0.2471,2585.0,2799.0,7.65,10.6,1.13,0.62,True,True,False,False,45.48,2592.86,2597.77,False,False,bearish
RAYMOND,0.2471,688.65,753.0,8.55,12.3,0.75,0.28,False,False,False,False,110.29,702.46,698.4,False,False,bearish
SUNTV,0.2454,573.95,614.0,6.52,9.13,0.89,0.54,False,False,False,False,17.18,577.32,571.45,False,True,bearish
NUVAMA,0.2451,7239.0,7895.0,8.31,10.48,0.91,0.62,False,True,False,False,152.72,7461.67,7437.65,False,False,bearish
HBLENGINE,0.2444,582.55,616.3,5.48,11.11,0.77,0.4,False,False,False,False,57.79,584.93,609.84,False,False,bearish
HAVELLS,0.2432,1516.0,1583.6,4.27,6.09,0.9,1.0,False,False,False,False,184.55,1531.0,1543.9,False,False,bearish
BLS,0.2432,373.5,390.5,4.35,9.45,0.88,0.52,False,False,False,False,65.26,371.05,376.48,True,False,bearish
TATAELXSI,0.2418,6086.0,6439.5,5.49,7.59,1.06,0.59,False,False,False,False,159.31,6139.93,6152.6,False,False,bearish
JSWINFRA,0.2412,311.95,328.5,5.04,8.13,1.03,1.14,True,True,False,False,65.62,313.33,313.01,False,False,bearish
ENGINERSIN,0.2388,217.0,251.8,13.82,17.51,0.95,0.38,False,True,False,False,96.13,230.07,225.65,False,False,bearish
NCC,0.2383,222.46,232.0,4.11,8.05,0.89,0.75,False,False,False,False,59.0,222.74,223.88,True,False,bearish
ALIVUS,0.238,1019.8,1102.7,7.52,9.18,0.95,0.51,False,False,True,False,8.83,1031.04,1036.5,False,False,bearish
UPL,0.2352,724.6,735.85,1.53,12.3,1.14,1.4,True,True,False,True,187.68,714.43,678.91,True,True,bullish
GRAPHITE,0.2347,552.0,597.9,7.68,11.41,0.93,0.52,False,True,False,False,47.64,558.48,548.07,False,True,bearish
VBL,0.2347,512.7,514.8,0.41,12.64,1.11,1.21,False,False,False,False,399.07,487.74,469.32,True,True,bullish
APARINDS,0.234,9716.0,9855.0,1.41,13.94,1.19,2.57,True,True,False,False,110.18,9097.76,8325.21,True,True,bullish
ADANIENSOL,0.2301,828.3,887.8,6.7,10.56,0.81,0.52,False,False,False,False,153.88,844.46,863.61,False,False,bearish
LTF,0.2294,205.9,214.8,4.14,7.8,1.08,1.32,True,True,True,True,188.63,206.31,206.51,False,False,bearish
BHEL,0.2275,241.1,259.75,7.18,10.58,0.83,0.51,False,False,False,False,103.02,246.42,249.89,False,False,bearish
SONATSOFTW,0.2274,409.95,447.3,8.35,11.75,0.82,0.35,False,False,False,False,63.72,421.17,428.9,False,False,bearish
JKTYRE,0.2263,343.95,381.8,9.91,13.58,0.89,0.22,False,False,False,False,22.64,351.84,364.61,False,False,bearish
BDL,0.2255,1621.0,1851.3,12.44,16.02,0.77,0.39,False,False,False,False,342.85,1691.92,1776.31,False,False,bearish
