symbol,close,volume,high,low,open,ema_4,ema_9,ema_18,ema_50,ema_200,above_ema_9,above_ema_50,above_ema_200,ema_trend
IRFC,132.22,7163091,132.76,130.38,131.0,132.38,133.23,134.27,135.73,136.72,False,False,False,bearish
PIIND,4249.5,221479,4258.0,4039.7,4086.4,4163.33,4142.74,4144.76,4157.33,4167.63,True,True,True,bullish
ABCAPITAL,252.35,3727261,253.7,250.1,252.1,257.57,262.46,265.96,269.36,271.27,False,False,False,bearish
ZYDUSLIFE,994.85,943918,997.95,980.55,985.0,982.69,976.36,972.83,969.84,968.25,True,True,True,bullish
AARTIIND,442.1,2116529,444.4,428.75,429.0,435.26,436.62,440.1,444.42,447.01,True,False,False,bearish
SBICARD,821.4,1133505,837.1,819.05,834.1,850.26,872.7,891.83,914.71,929.53,False,False,False,bearish
AUROPHARMA,1158.1,800744,1160.7,1121.9,1122.1,1137.22,1134.32,1138.38,1145.44,1150.14,True,True,True,bullish
SWANENERGY,482.4,1922301,485.0,462.85,465.7,483.17,488.8,486.43,477.48,470.07,False,True,True,bearish
JMFINANCIL,163.38,5611784,164.7,159.47,162.91,166.57,168.81,169.46,169.41,169.17,False,False,False,bearish
M&MFIN,251.95,3608582,252.45,246.35,250.85,253.36,256.52,258.66,260.23,260.89,False,False,False,bearish
GRANULES,490.45,1819374,492.0,464.0,464.0,478.68,479.71,480.01,477.64,475.02,True,True,True,bearish
VIJAYA,1119.7,788172,1138.65,1108.3,1131.0,1104.93,1076.18,1052.26,1028.08,1014.3,True,True,True,bullish
IIFL,514.9,1698933,520.0,495.0,497.0,514.16,519.53,521.74,521.91,521.26,False,False,False,bearish
HOMEFIRST,1304.3,667560,1358.6,1290.9,1356.0,1367.0,1384.21,1386.21,1381.37,1376.24,False,False,False,bearish
AIIL,2825.6,307782,2840.0,2640.0,2650.0,2782.42,2780.97,2757.36,2715.4,2686.13,True,True,True,bullish
KEC,860.25,998763,880.0,853.3,878.0,863.62,868.11,874.2,883.23,889.67,False,False,False,bearish
SAGILITY,43.35,19761981,43.74,41.36,41.5,43.35,43.79,44.15,44.47,44.62,False,False,False,bearish
IGL,205.95,4155694,208.26,202.7,204.92,205.79,209.0,212.74,217.04,219.62,False,False,False,bearish
HDFCLIFE,756.35,1129341,765.0,755.1,762.0,758.73,758.88,760.83,765.59,769.54,False,False,False,bearish
OLECTRA,1430.4,594424,1466.9,1408.0,1427.0,1430.5,1383.78,1333.66,1282.51,1254.84,True,True,True,bullish
EXIDEIND,391.7,2163417,392.8,381.4,381.8,387.59,387.42,387.5,388.06,388.66,True,True,True,bullish
MGL,1389.1,605336,1418.9,1380.1,1380.5,1401.59,1432.33,1454.43,1471.77,1479.57,False,False,False,bearish
MUTHOOTFIN,2617.1,320111,2649.9,2582.4,2647.0,2642.59,2653.04,2654.23,2650.38,2646.52,False,False,False,bearish
VOLTAS,1335.1,624288,1340.0,1308.6,1308.6,1334.26,1347.62,1358.19,1365.64,1368.22,False,False,False,bearish
HFCL,78.67,10464692,78.99,75.92,76.38,78.09,79.2,80.3,81.37,81.94,False,False,False,bearish
TEJASNET,591.25,1364808,601.0,566.55,572.0,596.67,615.88,640.33,672.43,693.31,False,False,False,bearish
ASHOKLEY,123.3,6535234,124.05,122.1,122.85,123.23,123.62,124.02,124.5,124.79,False,False,False,bearish
JSWENERGY,524.8,1532398,526.35,515.2,515.2,524.35,526.67,528.25,529.58,530.28,False,False,False,bearish
PNBHOUSING,1006.3,786810,1015.5,989.0,1014.5,1021.67,1043.93,1060.9,1075.18,1081.96,False,False,False,bearish
CHENNPETRO,705.3,1121573,719.7,699.0,718.95,720.5,735.06,739.4,737.85,735.1,False,False,False,bearish
SHYAMMETL,992.15,796516,999.9,952.05,963.55,967.98,944.17,917.83,885.96,866.25,True,True,True,bullish
ACC,1827.4,432427,1844.0,1821.8,1825.6,1852.79,1895.73,1933.06,1971.33,1993.18,False,False,False,bearish
GLAND,2102.1,375226,2131.0,2056.0,2062.6,2057.85,2019.17,1971.16,1905.54,1861.76,True,True,True,bullish
SIEMENS,3068.0,255592,3088.7,3034.6,3053.5,3076.82,3100.1,3125.1,3158.83,3182.04,False,False,False,bearish
SONACOMS,470.5,1649095,471.95,463.2,465.0,472.32,472.9,468.86,461.66,456.66,False,True,True,bearish
CRAFTSMAN,6448.0,118747,6500.0,5954.0,6200.5,6361.66,6331.93,6246.21,6099.84,5995.41,True,True,True,bullish
TATACOMM,1729.4,442463,1757.3,1715.9,1718.1,1730.09,1734.29,1738.55,1745.45,1750.98,False,False,False,bearish
NMDC,71.8,10501708,71.95,70.37,70.47,71.7,71.37,70.63,69.61,68.95,True,True,True,bullish
360ONE,1082.4,690591,1087.0,1059.0,1070.0,1093.03,1123.32,1150.41,1176.08,1189.52,False,False,False,bearish
PETRONET,292.85,2552471,301.05,291.2,300.0,299.12,302.2,303.77,304.69,304.98,False,False,False,bearish
UBL,1975.6,376353,2009.6,1970.0,1988.0,1998.99,2003.74,1997.09,1983.57,1973.86,False,False,True,bearish
CHOLAHLDNG,1912.5,387829,1928.1,1881.1,1901.0,1956.69,2011.44,2050.89,2087.92,2108.56,False,False,False,bearish
RAILTEL,384.35,1910026,386.2,376.4,378.1,388.46,395.65,401.01,405.42,407.43,False,False,False,bearish
BANKINDIA,112.17,6272053,112.71,110.3,111.31,112.6,113.42,113.99,114.33,114.41,False,False,False,bearish
PNCINFRA,319.3,2179460,321.95,304.35,314.45,311.07,310.58,309.36,306.85,304.91,True,True,True,bullish
MRPL,131.32,5268397,135.4,129.76,134.6,137.59,141.62,143.53,144.8,145.36,False,False,False,bearish
